[('MET', 'HIS'), 0.15760441292356187]
[('CYS', 'CYS'), 0.15760441292356187]
[('THR', 'THR'), 0.15760441292356187]
[('HIS', 'PHE'), 0.15760441292356187]
[('LYS', 'ARG'), 0.15760441292356187]
[('TRP', 'TYR'), 0.07880220646178093]
[('CYS', 'GLN'), 0.07880220646178093]
[('LYS', 'ILE'), 0.07880220646178093]
[('LEU', 'HIS'), 0.07880220646178093]
[('TRP', 'CYS'), 0.07880220646178093]
[('TRP', 'ASN'), 0.07880220646178093]
[('ASP', 'ASP'), 0.07880220646178093]
[('ASN', 'SER'), 0.07880220646178093]
[('LYS', 'PHE'), 0.07880220646178093]
[('SER', 'CYS'), 0.07880220646178093]
[('TRP', 'VAL'), 0.07880220646178093]
[('LYS', 'TYR'), 0.07880220646178093]
[('SER', 'TRP'), 0.07880220646178093]
[('PHE', 'CYS'), 0.07880220646178093]
[('ARG', 'ILE'), 0.07880220646178093]
[('LYS', 'ALA'), 0.07880220646178093]
[('CYS', 'ARG'), 0.07880220646178093]
[('MET', 'PRO'), 0.07880220646178093]
[('ASN', 'CYS'), 0.07880220646178093]
[('HIS', 'LYS'), 0.07880220646178093]
[('LYS', 'ASN'), 0.07880220646178093]
[('THR', 'TRP'), 0.07880220646178093]
[('ASP', 'CYS'), 0.07880220646178093]
[('TYR', 'GLN'), 0.07880220646178093]
[('MET', 'VAL'), 0.07880220646178093]
[('HIS', 'CYS'), 0.07880220646178093]
[('LYS', 'LYS'), 0.07880220646178093]
